"Colegio","Barrio","Distrito","Latitud","Longitud","Plazas_2012.2013","Plazas_2013.2014","Plazas_2014.2015","Plazas_2015.2016","Plazas_2016.2017","Admisiones_2012.2013","Solicitudes_2012.2013","Admisiones_2013.2014","Solicitudes_2013.2014","Admisiones_2014.2015","Solicitudes_2014.2015","Admisiones_2015.2016","Solicitudes_2015.2016","Admisiones_2016.2017","Solicitudes_2016.2017","PobxBarrio_2012.2013","PobxBarrio_2013.2014","PobxBarrio_2014.2015","PobxBarrio_2015.2016","PobxBarrio_2016.2017","PobxBarrio_2017.2018","Admisiones_2017.2018","Solicitudes_2017.2018"
"García Morente","ENTREVIAS","Puente de Vallecas",40.3733664858,-3.66548252495,87,92,88,78,71,4,4,10,10,6,6,NA,NA,NA,NA,1920,1874,1888,1907,1867,1882,NA,NA
"Garcilaso de la Vega","CANILLAS","Hortaleza",40.4669937289,-3.63410898756,266,267,258,287,285,11,11,2,2,4,6,9,10,9,11,1918,1899,1918,1902,1881,1865,5.28552298717939,8.16295609328388
"Giner de los Ríos","ENTREVIAS","Puente de Vallecas",40.3795294712,-3.66847650353,264,272,264,256,234,8,9,5,7,7,10,4,5,4,5,1920,1874,1888,1907,1867,1882,3.55259947823619,6.05613146305724
"Gloria Fuertes","ORCASITAS","Usera",40.3693116288,-3.70513683701,200,193,190,184,190,NA,NA,NA,NA,9,11,1,4,1,10,1503,1580,1675,1750,1738,1757,NA,NA
"Gonzalo de Berceo","ABRANTES","Carabanchel",40.3847122148,-3.72200338627,302,304,306,305,305,4,14,1,8,1,13,1,10,0,11,1771,1860,1954,2071,2173,2117,0,10.7413332104043
"Gonzalo Fernández de Córdoba","CAMPAMENTO","Latina",40.394142137,-3.77929874527,247,270,285,300,294,5,5,7,7,1,6,0,12,2,14,833,860,905,936,923,922,0.264827759513377,10.4608754698121
"Guindalera","GUINDALERA","Salamanca",40.4372859977,-3.66702022908,174,180,218,214,235,13,13,10,10,14,14,12,12,11,14,1697,1715,1745,1722,1696,1744,9.36336046622012,12.9080257982219
"Gustavo Adolfo Bécquer","VENTAS","Ciudad Lineal",40.4240189223,-3.64904175678,294,293,283,284,278,5,9,6,10,7,11,4,4,2,2,2101,2139,2152,2168,2106,2077,3.07458035706101,4.49724400196811
"Haití","VISTA ALEGRE","Carabanchel",40.3860711818,-3.74634688688,434,394,396,419,415,10,17,8,8,15,15,8,10,4,9,2067,2055,2086,2157,2176,2148,5.46270578887892,10.2744132924562
"Hermanos Pinzón","CAMPAMENTO","Latina",40.3985817859,-3.76880347321,220,219,231,250,248,5,5,2,2,6,6,4,4,3,3,833,860,905,936,923,922,2.77693361767569,3.68356477092487
"Hernán Cortés","ALUCHE","Latina",40.3911834075,-3.7512812696,286,284,284,296,299,7,16,5,13,9,15,3,11,0,10,2752,2758,2833,2798,2857,2856,1.16584396753373,11.5605533652869
"Honduras","CASCO H.VALLECAS","Villa de Vallecas",40.3777503195,-3.62077275314,272,291,292,310,326,6,11,7,17,7,15,9,10,0,4,4656,4947,5295,5566,6055,6485,2.2884225177621,8.34439981184597
"Hortaleza","PINAR DEL REY","Hortaleza",40.4724406572,-3.647738241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2490,2535,2584,2539,2557,2514,NA,NA
