Colegio,Barrio,Distrito,Latitud,Longitud,Plazas_2012-2013,Plazas_2013-2014,Plazas_2014-2015,Plazas_2015-2016,Plazas_2016-2017,Admisiones_2012-2013,Solicitudes_2012-2013,Admisiones_2013-2014,Solicitudes_2013-2014,Admisiones_2014-2015,Solicitudes_2014-2015,Admisiones_2015-2016,Solicitudes_2015-2016,Admisiones_2016-2017,Solicitudes_2016-2017,Pob_x_Barrio_2012-2013,Pob_x_Barrio_2013-2014,Pob_x_Barrio_2014-2015,Pob_x_Barrio_2015-2016,Pob_x_Barrio_2016-2017,Pob_x_Barrio_2017-2018
Doctor Tolosa Latour,PALOMERAS SURESTE,PUENTE DE VALLECAS,40.3820038126,-3.64200568094,298.0,289.0,315.0,321.0,315.0,5.0,13.0,6.0,9.0,6.0,8.0,1.0,6.0,1.0,6.0,2240.0,2253.0,2269.0,2300.0,2280.0,2248.0
La Rioja,PALOMERAS SURESTE,PUENTE DE VALLECAS,40.3881486289,-3.63700955081,293.0,289.0,283.0,284.0,270.0,6.0,7.0,5.0,7.0,6.0,15.0,0.0,4.0,8.0,13.0,2240.0,2253.0,2269.0,2300.0,2280.0,2248.0
Aravaca,ARAVACA,MONCLOA-ARAVACA,40.4605761984,-3.78570374621,107.0,107.0,107.0,107.0,107.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,2309.0,2296.0,2236.0,2184.0,2116.0,2074.0
Rosa Luxemburgo,ARAVACA,MONCLOA-ARAVACA,40.4500318182,-3.77157115262,282.0,303.0,296.0,288.0,297.0,11.0,19.0,18.0,18.0,10.0,12.0,8.0,11.0,5.0,9.0,2309.0,2296.0,2236.0,2184.0,2116.0,2074.0
Arcipreste de Hita,ABRANTES,CARABANCHEL,40.3848159912,-3.72557425211,140.0,142.0,138.0,139.0,145.0,1.0,9.0,2.0,4.0,4.0,9.0,5.0,7.0,3.0,9.0,1771.0,1860.0,1954.0,2071.0,2173.0,2117.0
Gonzalo de Berceo,ABRANTES,CARABANCHEL,40.3847122148,-3.72200338627,302.0,304.0,306.0,305.0,305.0,4.0,14.0,1.0,8.0,1.0,13.0,1.0,10.0,0.0,11.0,1771.0,1860.0,1954.0,2071.0,2173.0,2117.0
Julián Besteiro,ABRANTES,CARABANCHEL,40.3805927414,-3.72812068068,373.0,381.0,358.0,337.0,319.0,15.0,23.0,10.0,12.0,6.0,12.0,1.0,7.0,0.0,12.0,1771.0,1860.0,1954.0,2071.0,2173.0,2117.0
San Ignacio de Loyola,ABRANTES,CARABANCHEL,40.3848491071,-3.72172209471,151.0,150.0,150.0,152.0,150.0,2.0,23.0,2.0,13.0,3.0,14.0,1.0,17.0,0.0,9.0,1771.0,1860.0,1954.0,2071.0,2173.0,2117.0
Arquitecto Gaudí,NUEVA ESPAÑA,CHAMARTIN,40.465418281,-3.66906777282,220.0,209.0,202.0,210.0,213.0,15.0,15.0,9.0,9.0,6.0,6.0,17.0,17.0,19.0,22.0,1320.0,1329.0,1393.0,1454.0,1479.0,1595.0
Isaac Albéniz,NUEVA ESPAÑA,CHAMARTIN,40.4642287544,-3.66912674106,85.0,82.0,84.0,99.0,115.0,3.0,3.0,3.0,3.0,6.0,6.0,5.0,5.0,9.0,12.0,1320.0,1329.0,1393.0,1454.0,1479.0,1595.0
San Juan de la Cruz,NUEVA ESPAÑA,CHAMARTIN,40.459537376,-3.67954186336,97.0,101.0,112.0,102.0,114.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,6.0,6.0,1320.0,1329.0,1393.0,1454.0,1479.0,1595.0
Asunción Rincón,VALLEHERMOSO,CHAMBERI,40.4399159612,-3.71096772599,302.0,299.0,287.0,280.0,277.0,6.0,10.0,6.0,12.0,6.0,9.0,6.0,13.0,3.0,6.0,896.0,864.0,870.0,835.0,864.0,880.0
Claudio Moyano,VALLEHERMOSO,CHAMBERI,40.4389650923,-3.70883535886,131.0,129.0,146.0,140.0,146.0,7.0,7.0,5.0,6.0,7.0,7.0,0.0,1.0,1.0,1.0,896.0,864.0,870.0,835.0,864.0,880.0
Ausias March,BUTARQUE,VILLAVERDE,40.3443934612,-3.67474671423,71.0,139.0,228.0,305.0,391.0,,,5.0,5.0,5.0,7.0,0.0,8.0,2.0,14.0,1278.0,1473.0,1653.0,1808.0,1936.0,2072.0
El Greco,BUTARQUE,VILLAVERDE,40.3454822012,-3.67498127964,494.0,580.0,634.0,661.0,641.0,6.0,18.0,6.0,26.0,8.0,22.0,3.0,13.0,0.0,19.0,1278.0,1473.0,1653.0,1808.0,1936.0,2072.0
Los Rosales,BUTARQUE,VILLAVERDE,40.351753905,-3.67783463445,285.0,275.0,305.0,326.0,336.0,8.0,8.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,7.0,1278.0,1473.0,1653.0,1808.0,1936.0,2072.0
Azorín,SAN CRISTOBAL,VILLAVERDE,40.3429068882,-3.68700051544,155.0,148.0,158.0,151.0,143.0,1.0,4.0,8.0,10.0,2.0,4.0,2.0,5.0,1.0,2.0,1001.0,1049.0,1104.0,1111.0,1100.0,1125.0
Navas de Tolosa,SAN CRISTOBAL,VILLAVERDE,40.3443404473,-3.68529600432,291.0,310.0,282.0,255.0,260.0,2.0,3.0,6.0,6.0,3.0,3.0,0.0,2.0,2.0,3.0,1001.0,1049.0,1104.0,1111.0,1100.0,1125.0
Ramón Gómez de la Serna,SAN CRISTOBAL,VILLAVERDE,40.3396932754,-3.68958164226,307.0,313.0,283.0,288.0,285.0,6.0,17.0,1.0,17.0,4.0,27.0,16.0,27.0,4.0,28.0,1001.0,1049.0,1104.0,1111.0,1100.0,1125.0
Sagunto,SAN CRISTOBAL,VILLAVERDE,40.3411624956,-3.68491063157,272.0,273.0,286.0,288.0,300.0,6.0,6.0,11.0,11.0,6.0,6.0,1.0,1.0,9.0,19.0,1001.0,1049.0,1104.0,1111.0,1100.0,1125.0
Barcelona,LOS ANGELES,VILLAVERDE,40.358410237,-3.696273094,281.0,255.0,287.0,285.0,311.0,8.0,8.0,7.0,7.0,10.0,11.0,6.0,15.0,0.0,7.0,1423.0,1429.0,1448.0,1487.0,1498.0,1491.0
